SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,ISIN_CLEAN,Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,LISTING_SOURCE
20MICRONS,20 Microns Limited,EQ,06-OCT-2008,5,1,INE144J01027,5,INE144J01027,533022,20MICRONS,20 MICRONS LTD.,Active,B ,5.0,INE144J01027,Mining,Equity,BOTH
21STCENMGM,21st Century Management Services Limited,EQ,03-MAY-1995,10,1,INE253B01015,10,INE253B01015,526921,21STCENMGM,TWENTYFIRST CENTURY MANAGEMENT SERVICES LTD.,Active,B ,10.0,INE253B01015,Other Financial Services,Equity,BOTH
3MINDIA,3M India Limited,EQ,13-AUG-2004,10,1,INE470A01017,10,INE470A01017,523395,3MINDIA,3M INDIA LTD.,Active,B ,10.0,INE470A01017,Diversified,Equity,BOTH
3PLAND,3P Land Holdings Limited,EQ,19-JUL-1995,2,1,INE105C01023,2,INE105C01023,516092,PDUMJEIND,PUDUMJEE INDUSTRIES LTD.,Active,T ,2.0,INE105C01023,Paper &amp; Paper Products,Equity,BOTH
5PAISA,5Paisa Capital Limited,EQ,16-NOV-2017,10,1,INE618L01018,10,INE618L01018,540776,5PAISA,5paisa Capital Ltd,Active,B ,10.0,INE618L01018,Other Financial Services,Equity,BOTH
63MOONS,63 moons technologies limited,EQ,20-JUN-2005,2,1,INE111B01023,2,INE111B01023,526881,63MOONS,63 Moons Technologies Ltd,Active,B ,2.0,INE111B01023,IT Consulting &amp; Software,Equity,BOTH
A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-DEC-2010,10,1,INE619I01012,10,INE619I01012,533292,A2ZINFRA,A2Z Infra Engineering Limited,Active,B ,10.0,INE619I01012,Utilities:Non-Elec.,Equity,BOTH
AARTIDRUGS,Aarti Drugs Limited,EQ,19-SEP-2003,10,1,INE767A01016,10,INE767A01016,524348,AARTIDRUGS,AARTI DRUGS LTD.,Active,B ,10.0,INE767A01016,Pharmaceuticals,Equity,BOTH
AARTIIND,Aarti Industries Limited,EQ,08-FEB-1995,5,1,INE769A01020,5,INE769A01020,524208,AARTIIND,AARTI INDUSTRIES LTD.,Active,B ,5.0,INE769A01020,Commodity Chemicals,Equity,BOTH
ABAN,Aban Offshore Limited,BE,29-MAR-1995,2,1,INE421A01028,2,INE421A01028,523204,ABAN,ABAN OFFSHORE LTD.,Active,A ,2.0,INE421A01028,Exploration &amp; Production,Equity,BOTH
ABB,ABB India Limited,EQ,08-FEB-1995,2,1,INE117A01022,2,INE117A01022,500002,ABB,ABB India Limited,Active,A ,2.0,INE117A01022,Heavy Electrical Equipment,Equity,BOTH
ABBOTINDIA,Abbott India Limited,EQ,08-JAN-2010,10,1,INE358A01014,10,INE358A01014,500488,ABBOTINDIA,ABBOTT INDIA LTD.,Active,B ,10.0,INE358A01014,Pharmaceuticals,Equity,BOTH
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-SEP-2017,10,1,INE674K01013,10,INE674K01013,540691,ABCAPITAL,Aditya Birla Capital Ltd,Active,B ,10.0,INE674K01013,Holding Companies,Equity,BOTH
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-JUL-2013,10,1,INE647O01011,10,INE647O01011,535755,ABFRL,Aditya Birla Fashion and Retail Ltd,Active,A ,10.0,INE647O01011,Department Stores,Equity,BOTH
ABREL,Aditya Birla Real Estate Limited,EQ,27-JUN-2003,10,1,INE055A01016,10,INE055A01016,500040,CENTURYTEX,CENTURY TEXTILES &amp; INDUSTRIES LTD.,Active,A ,10.0,INE055A01016,Cement &amp; Cement Products,Equity,BOTH
ACC,ACC Limited,EQ,20-NOV-1996,10,1,INE012A01025,10,INE012A01025,500410,ACC,ACC LTD.,Active,A ,10.0,INE012A01025,Cement &amp; Cement Products,Equity,BOTH
ACCELYA,Accelya Solutions India Limited,EQ,01-DEC-1999,10,1,INE793A01012,10,INE793A01012,532268,ACCELYA,Accelya Kale Solutions Limitd,Active,B ,10.0,INE793A01012,IT Consulting &amp; Software,Equity,BOTH
ACCELYA,Accelya Solutions India Limited,EQ,01-DEC-1999,10,1,INE793A01012,10,INE793A01012,534015,KALECONBBPH,KALECONBBPH,Suspended,B ,10.0,INE793A01012,,Equity,BOTH
ACE,Action Construction Equipment Limited,EQ,26-SEP-2006,2,1,INE731H01025,2,INE731H01025,532762,ACE,ACTION CONSTRUCTION EQUIPMENT LTD.,Active,B ,2.0,INE731H01025,Transport Related Services,Equity,BOTH
ADANIENSOL,Adani Energy Solutions Limited,EQ,31-JUL-2015,10,1,INE931S01010,10,INE931S01010,539254,ADANITRANS,Adani Transmission Ltd,Active,A ,10.0,INE931S01010,Electric Utilities,Equity,BOTH
ADANIENT,Adani Enterprises Limited,EQ,04-JUN-1997,1,1,INE423A01024,1,INE423A01024,512599,ADANIENT,ADANI ENTERPRISES LTD.,Active,A ,1.0,INE423A01024,Comm.Trading  &amp; Distribution,Equity,BOTH
ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,2,1,INE742F01042,2,INE742F01042,532921,ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,Active,A ,2.0,INE742F01042,Marine Port &amp; Services,Equity,BOTH
ADOR,Ador Welding Limited,EQ,10-MAY-1995,10,1,INE045A01017,10,INE045A01017,517041,ADORWELD,ADOR WELDING LTD.,Active,B ,10.0,INE045A01017,Other Industrial Goods,Equity,BOTH
ADROITINFO,Adroit Infotech Limited,EQ,13-AUG-1997,10,1,INE737B01033,10,INE737B01033,532172,SPHEREGSL,Sphere Global Services Ltd.,Active,B ,10.0,INE737B01033,IT Consulting &amp; Software,Equity,BOTH
ADSL,Allied Digital Services Limited,EQ,25-JUL-2007,5,1,INE102I01027,5,INE102I01027,532875,ADSL,ALLIED DIGITAL SERVICES LTD.,Active,T ,5.0,INE102I01027,IT Consulting &amp; Software,Equity,BOTH
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,25-JUN-2007,2,1,INE199C01026,2,INE199C01026,523269,ADVANIHOTR,ADVANI HOTELS &amp; RESORTS (INDIA) LTD.,Active,B ,2.0,INE199C01026,Hotels,Equity,BOTH
ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-AUG-2016,2,1,INE837H01020,2,INE837H01020,540025,ADVENZYMES,Advanced Enzyme Technologies Ltd,Active,A ,2.0,INE837H01020,Other Agricultural Products,Equity,BOTH
AEGISLOG,Aegis Logistics Limited,EQ,03-APR-1996,1,1,INE208C01025,1,INE208C01025,500003,AEGISLOG,AEGIS LOGISTICS LTD.,Active,A ,1.0,INE208C01025,Oil Marketing &amp; Distribution,Equity,BOTH
AGARIND,Agarwal Industrial Corporation Limited,EQ,26-MAY-2014,10,1,INE204E01012,10,INE204E01012,531921,AGARIND,AGARWAL INDUSTRIAL CORPORATION LTD.,Active,T ,10.0,INE204E01012,Petrochemicals,Equity,BOTH
AGI,AGI Greenpac Limited,EQ,31-MAY-2000,2,1,INE415A01038,2,INE415A01038,500187,HSIL,HSIL LTD.,Active,B ,2.0,INE415A01038,Containers &amp; Packaging,Equity,BOTH
AGRITECH,Agri-Tech (India) Limited,EQ,28-JAN-2014,10,1,INE449G01018,10,INE449G01018,537292,AGRITECH,Agri- Tech (India) Ltd,Active,B ,10.0,INE449G01018,Other Agricultural Products,Equity,BOTH
AHLEAST,Asian Hotels (East) Limited,EQ,11-AUG-2010,10,1,INE926K01017,10,INE926K01017,533227,AHLEAST,ASIAN HOTELS (EAST) LTD.,Active,B ,10.0,INE926K01017,Hotels,Equity,BOTH
AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-DEC-2009,2,1,INE758C01029,2,INE758C01029,532811,AHLUCONT,AHLUWALIA CONTRACTS (INDIA) LTD.,Active,B ,2.0,INE758C01029,Realty,Equity,BOTH
AIAENG,AIA Engineering Limited,EQ,14-DEC-2005,2,1,INE212H01026,2,INE212H01026,532683,AIAENG,AIA ENGINEERING LTD.,Active,A ,2.0,INE212H01026,Other Industrial Goods,Equity,BOTH
AJANTPHARM,Ajanta Pharma Limited,EQ,29-MAY-2000,2,1,INE031B01049,2,INE031B01049,532331,AJANTPHARM,AJANTA PHARMA LTD.,Active,A ,2.0,INE031B01049,Pharmaceuticals,Equity,BOTH
