Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,ISIN_CLEAN,LISTING_SOURCE
500004,TPAEC,TORRENT POWER AEC LTD.,Delisted,B ,10.0,INE424A01014,,Equity,INE424A01014,BSE_ONLY
500005,AKARLAMIN,AKAR LAMINATORS LTD.,Delisted,XD,10.0,INE984C01013,Iron &amp; Steel Products,Equity,INE984C01013,BSE_ONLY
500006,ALPHADR,ALPHA DRUG INDIA LTD.,Delisted,B ,10.0,INE256B01026,,Equity,INE256B01026,BSE_ONLY
500010,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A ,2.0,INE001A01036,Housing Finance ,Equity,INE001A01036,BSE_ONLY
500011,AMRTMIL-BDM,AMRUT INDUSTRIES LTD.,Delisted,Z ,10.0,NA          ,,Equity,NA,BSE_ONLY
500015,ICICIDM,ICICI LTD.,Delisted,B ,10.0,INE005A01011,,Equity,INE005A01011,BSE_ONLY
500016,ARUNAHTEL,ARUNA HOTELS LTD.,Suspended,Z ,10.0,INE957C01019,Hotels,Equity,INE957C01019,BSE_ONLY
500018,ARPOLDM,ARPOLDM,Delisted,B ,10.0,INE035A01018,,Equity,INE035A01018,BSE_ONLY
500019,BOR,BANK OF RAJASTHAN LTD.,Delisted,B ,10.0,INE320A01014,Banks,Equity,INE320A01014,BSE_ONLY
500021,ASINCOF,ASINCOF,Delisted,Z ,10.0,NA          ,,Equity,NA,BSE_ONLY
500024,ASSAMCO,Assam Company (India) Limited,Active,T ,1.0,INE442A01024,Tea &amp; Coffee,Equity,INE442A01024,BSE_ONLY
500026,ATSHIND,ATASH INDUSTRIES LTD.,Delisted,Z ,10.0,NA          ,,Equity,NA,BSE_ONLY
500028,ATVPR,ATV PROJECTS INDIA LTD.,Active,XT,10.0,INE447A01015,Construction &amp; Engineering,Equity,INE447A01015,BSE_ONLY
500029,AUTOLITIND,AUTOLITE (INDIA) LTD.,Active,B ,10.0,INE448A01013,Auto Parts &amp; Equipment,Equity,INE448A01013,BSE_ONLY
500030,AUTORIDFIN,AUTORIDERS FINANCE LTD.,Suspended,T ,10.0,INE450A01019,Finance (including NBFCs),Equity,INE450A01019,BSE_ONLY
500034,BAJFINANCE,Bajaj Finance Limited,Active,A ,2.0,INE296A01024,Finance (including NBFCs),Equity,INE296A01024,BSE_ONLY
500035,BALAJIDI,BALAJI DISTILLERIES LTD.,Delisted,T ,10.0,INE453A01013,Breweries &amp; Distilleries,Equity,INE453A01013,BSE_ONLY
500044,RAYBAN,RAYBAN SUN OPTICS INDIA LTD.,Delisted,B ,10.0,INE854A01012,,Equity,INE854A01012,BSE_ONLY
500045,BELLARYS,BELLARY STEELS &amp; ALLOYS LTD.,Suspended,XT,1.0,INE166C01025,Iron &amp; Steel/Interm.Products,Equity,INE166C01025,BSE_ONLY
500046,BECREL,BEST &amp; CROMPTON ENGG.LTD.,Suspended,Z ,10.0,INE287A01015,Industrial Machinery,Equity,INE287A01015,BSE_ONLY
500047,BETANAP,BETA NAPHTHOL LTD.,Delisted,Z ,10.0,NA          ,,Equity,NA,BSE_ONLY
500048,BEML,BEML LTD.,Active,A ,10.0,INE258A01016,Commercial Vehicles,Equity,INE258A01016,BSE_ONLY
500051,BHAGGAS,Bhagawati Gas Limited,Suspended,Z ,10.0,INE099C01010,Industrial Gases,Equity,INE099C01010,BSE_ONLY
500053,BHAZINC,BHARAT ZINC LTD.,Delisted,Z ,10.0,NA          ,,Equity,NA,BSE_ONLY
500054,BHRTITE-B,BHRTITE-B,Delisted,Z ,10.0,NA          ,,Equity,NA,BSE_ONLY
500055,BHUSANSTL,BHUSHAN STEEL LTD.,Active,B ,2.0,INE824B01021,Iron &amp; Steel/Interm.Products,Equity,INE824B01021,BSE_ONLY
500056,UTIMRDM,MASTERGROWTH-93,Delisted,B ,10.0,INF189A01046,,Equity,INF189A01046,BSE_ONLY
500057,ABCIL,ADITYA BIRLA CHEMICALS (INDIA) LTD.,Delisted,B ,10.0,INE605B01016,Commodity Chemicals,Equity,INE605B01016,BSE_ONLY
500058,BIHSPONG,BIHAR SPONGE IRON LTD.,Active,XT,10.0,INE819C01011,Iron &amp; Steel/Interm.Products,Equity,INE819C01011,BSE_ONLY
500061,ANVALDM,ANDHRA VALLEY POWER SUPPLY COMPANY LTD.,Delisted,B ,10.0,INE247A01019,,Equity,INE247A01019,BSE_ONLY
500062,ASHOKLEYFIN,ASHOK LEYLAND FINANCE LTD.,Delisted,B ,10.0,INE251A01011,,Equity,INE251A01011,BSE_ONLY
500064,BGFL,BIRLA GLOBAL FINANCE LTD.,Delisted,B ,10.0,INE097A01018,,Equity,INE097A01018,BSE_ONLY
500070,BOP,BANK OF PUNJAB LTD.,Delisted,B ,10.0,INE458A01012,,Equity,INE458A01012,BSE_ONLY
500072,BONGAIREFN,BONGAIGAON REFINERY &amp; PETROCHEMICALS LTD.,Delisted,B ,10.0,INE241A01012,,Equity,INE241A01012,BSE_ONLY
500073,BPLENG,BPL ENGINEERING LTD.,Delisted,B ,10.0,INE108A01013,,Equity,INE108A01013,BSE_ONLY
500075,NAGARFER,NAGARJUNA FERTILIZERS &amp; CHEMICALS LTD.,Delisted,B ,10.0,INE580A01013,Fertilizers,Equity,INE580A01013,BSE_ONLY
500076,BURROWEL,BURROUGHS WELLCOME (INDIA) LTD.,Delisted,B ,10.0,INE157A01010,,Equity,INE157A01010,BSE_ONLY
500077,CCI,CABLE CORPORATION OF INDIA LTD.,Delisted,B ,10.0,INE475A01016,Other Elect.Equip./ Prod.,Equity,INE475A01016,BSE_ONLY
500079,CARIR,CARRIER AIRCON LTD.,Delisted,B ,10.0,INE480A01016,,Equity,INE480A01016,BSE_ONLY
500080,CAUVERSOFT,CAUVERY SOFTWARE ENGINEERING SYSTEMS LTD.,Delisted,B ,10.0,INE466B01013,IT Software Products,Equity,INE466B01013,BSE_ONLY
500081,CELEINT,CELESTE INTERNATIONAL LTD.,Delisted,Z ,10.0,NA          ,,Equity,NA,BSE_ONLY
500082,CENCHDM,CENTAK CHEMICALS LTD.,Delisted,B ,10.0,INE942A01015,,Equity,INE942A01015,BSE_ONLY
500084,CESC,CESC LTD.,Active,A ,10.0,INE486A01013,Electric Utilities,Equity,INE486A01013,BSE_ONLY
500090,MADUCOA,MADURA COATS LTD.,Delisted,B ,10.0,INE122A01014,,Equity,INE122A01014,BSE_ONLY
500091,COREPARENT,CORE HEALTHCARE LTD.,Delisted,B ,10.0,INE494A01017,Pharmaceuticals,Equity,INE494A01017,BSE_ONLY
500094,CTCOTTON,CT COTTON YARN LTD.,Delisted,XD,10.0,INE107D01019,Textiles,Equity,INE107D01019,BSE_ONLY
500095,WYETH,WYETH LTD.,Delisted,B ,10.0,INE378A01012,Pharmaceuticals,Equity,INE378A01012,BSE_ONLY
500098,SKYLNEPC,SKYLINE NEPC LTD.,Delisted,B ,10.0,INE575B01011,,Equity,INE575B01011,BSE_ONLY
500099,CENTINPO,CENTRAL INDIA POLYESTERS LTD.,Delisted,B ,10.0,INE496A01020,,Equity,INE496A01020,BSE_ONLY
500100,DAEWOO,DAEWOO MOTORS (INDIA) LTD.,Delisted,XD,10.0,INE497A01010,Cars &amp; Utility Vehicles,Equity,INE497A01010,BSE_ONLY
500102,BALLARPUR,BALLARPUR INDUSTRIES LTD.,Active,B ,2.0,INE294A01037,Paper &amp; Paper Products,Equity,INE294A01037,BSE_ONLY
500105,IPCL,INDIAN PETROCHEMICALS CORP.LTD.,Delisted,B ,10.0,INE006A01019,,Equity,INE006A01019,BSE_ONLY
500107,JINDALIRON,JINDAL IRON &amp; STEEL CO.LTD.,Delisted,B ,10.0,INE020A01010,,Equity,INE020A01010,BSE_ONLY
500111,RELCAPITAL,RELIANCE CAPITAL LTD.,Active,A ,10.0,INE013A01015,Finance (including NBFCs),Equity,INE013A01015,BSE_ONLY
500115,MSTRP,MSTRP,Delisted,Z ,10.0,INF189A01061,,Equity,INF189A01061,BSE_ONLY
500121,DIGITAL,DIGITAL GLOBALSOFT LTD.,Delisted,B ,10.0,INE124A01010,,Equity,INE124A01010,BSE_ONLY
500122,AMBUJACEMR,AMBUJA CEMENT RAJASTHAN LTD.,Delisted,Z ,10.0,INE125A01017,,Equity,INE125A01017,BSE_ONLY
500123,ELANTAS,ELANTAS BECK INDIA LTD.-$,Active,B ,10.0,INE280B01018,Commodity Chemicals,Equity,INE280B01018,BSE_ONLY
500124,DRREDDY,DR.REDDY'S LABORATORIES LTD.,Active,A ,5.0,INE089A01023,Pharmaceuticals,Equity,INE089A01023,BSE_ONLY
500127,ESTMNAL,EASTERN MINING &amp; ALLIED LTD.,Delisted,P ,10.0,NA          ,Coal,Equity,NA,BSE_ONLY
500129,ELAUPAR-BDM,ELGI AUTO PARTS LTD.,Delisted,Z ,10.0,NA          ,,Equity,NA,BSE_ONLY
