SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,ISIN_CLEAN,LISTING_SOURCE
360ONE,360 ONE WAM LIMITED,EQ,19-SEP-2019,1,1,INE466L01038,1,INE466L01038,NSE_ONLY
3IINFOLTD,3i Infotech Limited,EQ,22-OCT-2021,10,1,INE748C01038,10,INE748C01038,NSE_ONLY
AAATECH,AAA Technologies Limited,BE,28-NOV-2022,10,1,INE0D0U01013,10,INE0D0U01013,NSE_ONLY
AADHARHFC,Aadhar Housing Finance Limited,EQ,15-MAY-2024,10,1,INE883F01010,10,INE883F01010,NSE_ONLY
AAKASH,Aakash Exploration Services Limited,EQ,29-SEP-2020,1,1,INE087Z01024,1,INE087Z01024,NSE_ONLY
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,BE,06-AUG-2021,10,1,INE198H01019,10,INE198H01019,NSE_ONLY
AARON,Aaron Industries Limited,EQ,06-NOV-2020,10,1,INE721Z01010,10,INE721Z01010,NSE_ONLY
AARTECH,Aartech Solonics Limited,EQ,10-JUL-2023,5,1,INE01C001026,5,INE01C001026,NSE_ONLY
AARTIPHARM,Aarti Pharmalabs Limited,EQ,30-JAN-2023,5,1,INE0LRU01027,5,INE0LRU01027,NSE_ONLY
AARTISURF,Aarti Surfactants Limited,EQ,14-JUL-2020,10,1,INE09EO01013,10,INE09EO01013,NSE_ONLY
AARVI,Aarvi Encon Limited,EQ,24-JUN-2020,10,1,INE754X01016,10,INE754X01016,NSE_ONLY
AAVAS,Aavas Financiers Limited,EQ,08-OCT-2018,10,1,INE216P01012,10,INE216P01012,NSE_ONLY
ABCOTS,A B Cotspin India Limited,EQ,24-SEP-2025,10,1,INE08PH01015,10,INE08PH01015,NSE_ONLY
ABDL,Allied Blenders and Distillers Limited,EQ,02-JUL-2024,2,1,INE552Z01027,2,INE552Z01027,NSE_ONLY
ABINFRA,A B Infrabuild Limited,EQ,08-NOV-2024,1,1,INE00YB01025,1,INE00YB01025,NSE_ONLY
ABLBL,Aditya Birla Lifestyle Brands Limited,EQ,23-JUN-2025,10,1,INE14LE01019,10,INE14LE01019,NSE_ONLY
ABMINTLLTD,ABM International Limited,EQ,09-SEP-2021,10,1,INE251C01025,10,INE251C01025,NSE_ONLY
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-OCT-2021,5,1,INE404A01024,5,INE404A01024,NSE_ONLY
ACCURACY,Accuracy Shipping Limited,EQ,11-DEC-2020,1,1,INE648Z01023,1,INE648Z01023,NSE_ONLY
ACEINTEG,Ace Integrated Solutions Limited,EQ,04-NOV-2022,10,1,INE543V01017,10,INE543V01017,NSE_ONLY
ACI,Archean Chemical Industries Limited,EQ,21-NOV-2022,2,1,INE128X01021,2,INE128X01021,NSE_ONLY
ACL,Andhra Cements Limited,EQ,10-MAY-2023,10,1,INE666E01020,10,INE666E01020,NSE_ONLY
ACMESOLAR,Acme Solar Holdings Limited,EQ,13-NOV-2024,2,1,INE622W01025,2,INE622W01025,NSE_ONLY
ACUTAAS,Acutaas Chemicals Limited,EQ,14-SEP-2021,5,1,INE00FF01025,5,INE00FF01025,NSE_ONLY
ADANIGREEN,Adani Green Energy Limited,EQ,18-JUN-2018,10,1,INE364U01010,10,INE364U01010,NSE_ONLY
ADANIPOWER,Adani Power Limited,EQ,20-AUG-2009,2,1,INE814H01029,2,INE814H01029,NSE_ONLY
ADFFOODS,ADF Foods Limited,EQ,15-SEP-2010,2,1,INE982B01027,2,INE982B01027,NSE_ONLY
ADL,Archidply Decor Limited,EQ,01-OCT-2020,10,1,INE0CHO01012,10,INE0CHO01012,NSE_ONLY
ADVANCE,Advance Agrolife Limited,EQ,08-OCT-2025,10,1,INE1B0W01010,10,INE1B0W01010,NSE_ONLY
ADVENTHTL,Advent Hotels International Limited,EQ,13-NOV-2025,10,1,INE28GN01010,10,INE28GN01010,NSE_ONLY
AEGISVOPAK,Aegis Vopak Terminals Limited,EQ,02-JUN-2025,10,1,INE0INX01018,10,INE0INX01018,NSE_ONLY
AEROENTER,Aeroflex Enterprises Limited,EQ,21-NOV-2022,2,1,INE065D01027,2,INE065D01027,NSE_ONLY
AEROFLEX,Aeroflex Industries Limited,EQ,31-AUG-2023,2,1,INE024001021,2,INE024001021,NSE_ONLY
AERONEU,Aeroflex Neu Limited,EQ,12-JAN-2023,10,1,INE035801013,10,INE035801013,NSE_ONLY
AETHER,Aether Industries Limited,EQ,03-JUN-2022,10,1,INE0BWX01014,10,INE0BWX01014,NSE_ONLY
AFCONS,Afcons Infrastructure Limited,EQ,04-NOV-2024,10,1,INE101I01011,10,INE101I01011,NSE_ONLY
AFFLE,Affle 3i Limited,EQ,08-AUG-2019,2,1,INE00WC01027,2,INE00WC01027,NSE_ONLY
AFFORDABLE,Affordable Robotic & Automation Limited,EQ,23-OCT-2024,10,1,INE692Z01013,10,INE692Z01013,NSE_ONLY
AFIL,Akme Fintrade (India) Limited,EQ,26-JUN-2024,1,1,INE916Y01027,1,INE916Y01027,NSE_ONLY
AFSL,Abans Financial Services Limited,EQ,23-DEC-2022,2,1,INE00ZE01026,2,INE00ZE01026,NSE_ONLY
AGARWALEYE,Dr. Agarwal's Health Care Limited,EQ,04-FEB-2025,1,1,INE943P01029,1,INE943P01029,NSE_ONLY
AGIIL,Agi Infra Limited,EQ,15-JUL-2024,1,1,INE976R01033,1,INE976R01033,NSE_ONLY
AGROPHOS,Agro Phos India Limited,EQ,08-MAR-2019,10,1,INE740V01019,10,INE740V01019,NSE_ONLY
AGSTRA,AGS Transact Technologies Limited,BZ,31-JAN-2022,10,1,INE583L01014,10,INE583L01014,NSE_ONLY
AHCL,Anlon Healthcare Limited,BE,03-SEP-2025,10,1,INE0Y8W01017,10,INE0Y8W01017,NSE_ONLY
AHLADA,Ahlada Engineers Limited,EQ,28-JAN-2021,10,1,INE00PV01013,10,INE00PV01013,NSE_ONLY
AIIL,Authum Investment & Infrastructure Limited,EQ,23-APR-2024,1,1,INE206F01022,1,INE206F01022,NSE_ONLY
AIRAN,Airan Limited,EQ,03-MAY-2019,2,1,INE645W01026,2,INE645W01026,NSE_ONLY
AIROLAM,Airo Lam limited,EQ,13-OCT-2021,10,1,INE801L01010,10,INE801L01010,NSE_ONLY
AJAXENGG,Ajax Engineering Limited,EQ,17-FEB-2025,1,1,INE274Y01021,1,INE274Y01021,NSE_ONLY
AJOONI,Ajooni Biotech Limited,EQ,07-MAY-2021,2,1,INE820Y01021,2,INE820Y01021,NSE_ONLY
AKASH,Akash Infra-Projects Limited,EQ,11-OCT-2019,10,1,INE737W01013,10,INE737W01013,NSE_ONLY
AKG,Akg Exim Limited,EQ,16-FEB-2021,10,1,INE00Y801016,10,INE00Y801016,NSE_ONLY
AKI,AKI India Limited,EQ,06-APR-2023,2,1,INE642Z01026,2,INE642Z01026,NSE_ONLY
AKSHAR,Akshar Spintex Limited,EQ,23-MAY-2022,1,1,INE256Z01025,1,INE256Z01025,NSE_ONLY
AKUMS,Akums Drugs and Pharmaceuticals Limited,EQ,06-AUG-2024,2,1,INE09XN01023,2,INE09XN01023,NSE_ONLY
ALIVUS,Alivus Life Sciences Limited,EQ,06-AUG-2021,2,1,INE03Q201024,2,INE03Q201024,NSE_ONLY
ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-NOV-2007,2,1,INE150B01039,2,INE150B01039,NSE_ONLY
ALLTIME,All Time Plastics Limited,EQ,14-AUG-2025,2,1,INE0GV601021,2,INE0GV601021,NSE_ONLY
ALMONDZ,Almondz Global Securities Limited,EQ,16-JUN-2008,1,1,INE326B01035,1,INE326B01035,NSE_ONLY
ALOKINDS,Alok Industries Limited,EQ,19-FEB-2020,1,1,INE270A01029,1,INE270A01029,NSE_ONLY
AMANTA,Amanta Healthcare Limited,EQ,09-SEP-2025,10,1,INE084K01015,10,INE084K01015,NSE_ONLY
AMBER,Amber Enterprises India Limited,EQ,30-JAN-2018,10,1,INE371P01015,10,INE371P01015,NSE_ONLY
AMNPLST,Amines & Plasticizers Limited,EQ,10-NOV-2023,2,1,INE275D01022,2,INE275D01022,NSE_ONLY
AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-JAN-2015,1,1,INE098F01031,1,INE098F01031,NSE_ONLY
